obligation_id|standard_id|standard_code|obligation_priority|topic|validation_intent|applicability_context|exclusion_conditions|protocol_impact|section_binding|evidence_types|technical_expression|plain_language_expression|inputs_required|outputs_generated|depth_modifiers|control_domains|trace_notes|status
OBL_ISO17665_STEAM_0001|STD_ISO17665|ISO 17665|10|intended_use_definition|Ensure the sterilization process is defined for intended products, packaging, and load types.|sterilization_modality=steam;terminal_sterilization=true||IQ|IQ.ProcessDefinition|procedure;record|Define intended use, load families, packaging configurations, and sterilization objectives before qualification begins.|Write down what you’re sterilizing, how it’s packaged, and what kinds of loads you will run.|product_family;packaging_type;load_types;sterilization_objective|process_definition_block;load_family_table|product_risk;load_complexity|CD_RISK_MANAGEMENT:primary|Sets the scope boundary for everything else.|draft
OBL_ISO17665_STEAM_0002|STD_ISO17665|ISO 17665|20|roles_responsibilities|Ensure responsibilities and approvals are defined for sterilization validation and release.|sterilization_modality=steam;terminal_sterilization=true||IQ|IQ.Governance|procedure;record|Define roles, responsibilities, and approval authorities for validation execution, review, and release decisions.|Decide who does the work and who signs off on results and release.|org_roles;approval_matrix|governance_block;approval_workflow|regulated_environment|CD_TRAINING_COMPETENCY:supporting|Supports audit readiness and prevents ambiguous release authority.|draft
OBL_ISO17665_STEAM_0003|STD_ISO17665|ISO 17665|30|equipment_installation_readiness|Ensure sterilizer installation and utilities support intended operation.|sterilization_modality=steam||IQ|IQ.InstallationChecks|record;calibration;observation|Verify installation, utilities, drainage, steam supply, and safety systems are suitable for intended sterilization cycles.|Confirm the sterilizer is installed correctly and has the utilities it needs.|utility_specs;steam_supply_details;drain_config|IQ_install_checklist;utility_verification_records|facility_complexity|CD_MAINTENANCE_CALIBRATION:supporting|Foundational IQ requirement.|draft
OBL_ISO17665_STEAM_0004|STD_ISO17665|ISO 17665|40|instrumentation_traceability|Ensure critical sensors and instruments are calibrated and traceable.|sterilization_modality=steam||IQ|IQ.Instrumentation|calibration;record|Ensure temperature, pressure, and timing measurement systems are calibrated and traceable.|Make sure the sensors used to prove sterilization are accurate.|sensor_list;calibration_status;traceability_requirements|instrumentation_table;calibration_evidence_bundle|product_risk|CD_MAINTENANCE_CALIBRATION:primary|Foundational for credible OQ/PQ evidence.|draft
OBL_ISO17665_STEAM_0005|STD_ISO17665|ISO 17665|50|control_system_configuration|Ensure control system configuration is defined and controlled.|sterilization_modality=steam;software_controlled=true||IQ;OQ|IQ.ControlSystem;OQ.ControlSystemVerification|procedure;record|Document and control cycle recipes, setpoints, alarms, interlocks, and configuration baselines.|Lock down the cycle settings and alarms so they can’t drift.|cycle_recipes;alarm_limits;access_roles;config_baseline|configuration_baseline_record;alarm_interlock_matrix|software_control;automation_level|CD_CHANGE_CONTROL:primary;CD_DATA_INTEGRITY:supporting|Prevents “mystery changes” to cycles.|draft
OBL_ISO17665_STEAM_0006|STD_ISO17665|ISO 17665|60|load_family_rationale|Ensure load families and worst-case rationale are defined.|terminal_sterilization=true;sterilization_modality=steam||OQ;PQ|OQ.LoadFamilyDefinition;PQ.LoadFamilyCoverage|procedure;record|Define load families and justify worst-case selections based on mass, density, packaging, and steam penetration difficulty.|Group loads and identify the hardest ones to sterilize.|load_inventory;packaging_configs;density_factors|load_family_matrix;worst_case_rationale|load_complexity;product_risk|CD_RISK_MANAGEMENT:primary|Drives efficient validation without under-covering risk.|draft
OBL_ISO17665_STEAM_0007|STD_ISO17665|ISO 17665|70|cycle_development_strategy|Ensure cycle development approach is defined and justified.|sterilization_modality=steam;terminal_sterilization=true||OQ|OQ.CycleDevelopment|procedure;record|Define the cycle development strategy, including target conditions, exposure phase intent, and how cycle parameters will be established.|Explain how you chose the cycle and what it’s supposed to achieve.|target_temp;exposure_time;conditioning_strategy|cycle_development_plan|product_risk;load_complexity|CD_RISK_MANAGEMENT:primary|Keeps cycle development from being “tribal knowledge.”|draft
OBL_ISO17665_STEAM_0008|STD_ISO17665|ISO 17665|80|air_removal_effectiveness|Ensure air removal and steam penetration capability are demonstrated.|sterilization_modality=steam;load_types_contains=porous_or_mixed||OQ|OQ.AirRemovalAndPenetration|test_data;record|Demonstrate effective air removal and steam penetration for representative and worst-case load configurations.|Prove steam can reach the hardest-to-sterilize parts of the load.|preconditioning_method;load_configs;challenge_devices|air_removal_test_records;penetration_summary|load_complexity;chamber_size|CD_RISK_MANAGEMENT:primary|Critical for porous/mixed loads.|draft
OBL_ISO17665_STEAM_0009|STD_ISO17665|ISO 17665|90|operating_range_challenges|Ensure operating ranges and control limits are challenged and verified.|sterilization_modality=steam||OQ|OQ.OperatingRangeChallenges|test_data;record|Challenge critical setpoints and limits to demonstrate the sterilizer controls and maintains required conditions across defined ranges.|Test high/low conditions to prove the sterilizer stays in control.|setpoint_ranges;alarm_limits;challenge_plan|challenge_matrix;control_limit_summary|automation_level;product_risk|CD_RISK_MANAGEMENT:primary|Core OQ deliverable.|draft
OBL_ISO17665_STEAM_0010|STD_ISO17665|ISO 17665|100|temperature_distribution_mapping|Ensure chamber temperature distribution is characterized.|sterilization_modality=steam||OQ|OQ.TemperatureDistribution|test_data;record|Characterize temperature distribution using a defined sensor layout and demonstrate uniformity.|Map temperatures to confirm the chamber heats evenly.|sensor_layout;empty_or_loaded_conditions;run_count|temp_mapping_report;worst_case_zone_identification|chamber_size;load_complexity|CD_RISK_MANAGEMENT:primary|Supports worst-case placement logic.|draft
