obligation_id|standard_id|standard_code|qualification_phase|domain|title|description|cohort|equipment_types|clause|verification_expectation|acceptance_criteria|rationale|status|introduced_in_version|deprecated_in_version|superseded_by|required_capabilities
OBL_ISO17665_STEAM_0001|STD_ISO17665|ISO 17665|IQ|REVIEW_REPORTING|Sterilization process intended use defined|The sterilization process is defined for intended products packaging and load types before qualification begins.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|5.1|Verify that intended use load families packaging configurations and sterilization objectives are documented.|Process definition and load family table are documented and approved.|Sets the scope boundary for steam sterilization qualification.|active|v1.0|||
OBL_ISO17665_STEAM_0002|STD_ISO17665|ISO 17665|IQ|SYSTEM_ACCESS_SECURITY|Roles and approval authorities defined|Responsibilities and approval authorities for validation execution review and release are defined.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|5.2|Verify that roles responsibilities and approval authorities are documented.|Governance and approval workflow are documented.|Supports audit readiness and prevents ambiguous release authority.|active|v1.0|||
OBL_ISO17665_STEAM_0003|STD_ISO17665|ISO 17665|IQ|INSTALLATION_ENVIRONMENT|Installation and utilities verified|Sterilizer installation utilities drainage steam supply and safety systems are suitable for intended cycles.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|5.3|Verify installation utilities drainage steam supply and safety systems per requirements.|IQ install checklist and utility verification records are complete.|Foundational IQ requirement for steam sterilizers.|active|v1.0|||
OBL_ISO17665_STEAM_0004|STD_ISO17665|ISO 17665|IQ|CALIBRATION_MAINTENANCE|Critical sensors calibrated and traceable|Temperature pressure and timing measurement systems are calibrated and traceable.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|5.4|Verify that temperature pressure and timing systems are calibrated and traceable.|Instrumentation table and calibration evidence are documented.|Foundational for credible OQ/PQ evidence.|active|v1.0|||
OBL_ISO17665_STEAM_0005|STD_ISO17665|ISO 17665|IQ|CONFIGURATION_CHANGE_CONTROL|Control system configuration defined and controlled|Cycle recipes setpoints alarms and configuration baselines are documented and controlled.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|5.5|Verify that cycle recipes setpoints alarms and interlocks are documented and controlled.|Configuration baseline and alarm interlock matrix are documented.|Prevents unplanned changes to cycle parameters.|active|v1.0|||SOFTWARE_CONTROLLED
OBL_ISO17665_STEAM_0006|STD_ISO17665|ISO 17665|OQ|REVIEW_REPORTING|Load families and worst-case rationale defined|Load families and worst-case selections are defined and justified based on mass density packaging and steam penetration difficulty.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|6.1|Verify that load families and worst-case rationale are documented.|Load family matrix and worst-case rationale are documented.|Drives efficient validation without under-covering risk.|active|v1.0|||
OBL_ISO17665_STEAM_0007|STD_ISO17665|ISO 17665|OQ|REVIEW_REPORTING|Cycle development strategy defined|Cycle development approach target conditions and exposure phase intent are defined and justified.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|6.2|Verify that cycle development strategy is documented.|Cycle development plan is documented.|Keeps cycle development traceable and justified.|active|v1.0|||
OBL_ISO17665_STEAM_0008|STD_ISO17665|ISO 17665|OQ|FUNCTIONAL_PERFORMANCE|Air removal and steam penetration demonstrated|Effective air removal and steam penetration are demonstrated for representative and worst-case load configurations where applicable.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|6.3|Verify air removal and steam penetration for porous or mixed loads where applicable.|Air removal and penetration test records are documented.|Critical for porous and mixed loads.|active|v1.0|||
OBL_ISO17665_STEAM_0009|STD_ISO17665|ISO 17665|OQ|FUNCTIONAL_PERFORMANCE|Operating ranges and control limits challenged|Critical setpoints and limits are challenged to demonstrate the sterilizer maintains required conditions across defined ranges.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|6.4|Execute operating range and control limit challenges.|Challenge matrix and control limit summary are documented.|Core OQ deliverable for steam sterilization.|active|v1.0|||
OBL_ISO17665_STEAM_0010|STD_ISO17665|ISO 17665|OQ|FUNCTIONAL_PERFORMANCE|Chamber temperature distribution characterized|Chamber temperature distribution is characterized using a defined sensor layout to demonstrate uniformity.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|6.5|Characterize temperature distribution per sensor layout.|Temperature mapping report and worst-case zone identification are documented.|Supports worst-case monitoring placement.|active|v1.0|||
