id,canonical_name,category,subtype,key_attributes_schema,default_iq,default_oq,default_pq,default_calibration_months,default_maintenance_months,default_requalification_months,risk_level,regulatory_references,search_aliases,locale_overrides,notes
,Injection Molding Machine,Production: Material Forming,Injection Molding Machine,"{""clamp_force_ton"":""number"",""shot_size_oz"":""number"",""control_type"":""enum""}",TRUE,TRUE,TRUE,12,12,24,High,ISO 13485;21 CFR 820.75,molder;press,{},Special process
,Micro-Molding Machine,Production: Material Forming,Micro-Molding Machine,"{""shot_resolution_mg"":""number"",""clamp_force_kN"":""number""}",TRUE,TRUE,TRUE,12,12,24,High,ISO 13485;21 CFR 820.75,micro molder,{},Implant components
,Plastic Extrusion Line,Production: Material Forming,Medical Extrusion Line,"{""screw_speed_rpm"":""number"",""die_type"":""string""}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75,extruder,{},Tubing control
,Blow Molding Machine,Production: Material Forming,Medical Blow Molding Machine,"{""forming_pressure_psi"":""number"",""mold_temp_C"":""number""}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;21 CFR 820.75,blow molder,{},Balloon forming
,Thermoforming Machine,Production: Material Forming,Medical Thermoforming Machine,"{""heater_zones"":""integer"",""vacuum_level_mbar"":""number""}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75,thermoformer,{},Sheet forming
,Compression Molding Press,Production: Material Forming,Compression Molding Press,"{""platen_temp_C"":""number"",""press_force_ton"":""number""}",TRUE,TRUE,TRUE,12,12,24,High,ISO 13485;21 CFR 820.75,compression press,{},Elastomers
,Resin Dryer,Production: Material Forming,Resin Drying System,"{""dew_point_C"":""number"",""airflow_CFM"":""number""}",TRUE,TRUE,TRUE,12,6,12,Medium,ISO 13485,resin dryer,{},Material conditioning
,CNC Machining Center,Precision Machining,CNC Machining Center,"{""axis_count"":""integer"",""control_software"":""string""}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.70,CNC mill,{},Software controlled
,CNC Turning Center,Precision Machining,CNC Turning Center,"{""spindle_speed_rpm"":""number"",""chuck_size_in"":""number""}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.70,CNC lathe,{},Rotational machining
,CNC Swiss Lathe,Precision Machining,CNC Swiss Lathe,"{""bar_diameter_mm"":""number"",""sub_spindle"":""boolean""}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.70,Swiss lathe,{},Small precision parts
,Wire EDM Machine,Precision Machining,Wire EDM Machine,"{""wire_diameter_mm"":""number"",""max_taper_deg"":""number""}",TRUE,TRUE,TRUE,12,12,,High,ISO 13485;21 CFR 820.70,EDM,{},Fine geometry
,Sinker EDM Machine,Precision Machining,Sinker EDM Machine,"{""electrode_material"":""string"",""spark_energy"":""setting""}",TRUE,TRUE,TRUE,12,12,,High,ISO 13485;21 CFR 820.70,sinker EDM,{},Tooling
,Laser Cutting System,Precision Machining,Laser Cutting System,"{""laser_power_W"":""number"",""wavelength_nm"":""number""}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75,laser cutter,{},HAZ risk
,Laser Marking System,Precision Machining,Laser Marking System,"{""marking_method"":""enum"",""wavelength_nm"":""number""}",TRUE,TRUE,TRUE,12,6,12,High,21 CFR 830;ISO 13485,laser marker,{},UDI permanence
,Waterjet Cutting System,Precision Machining,Waterjet Cutting System,"{""pressure_psi"":""number"",""abrasive_flow_kg_min"":""number""}",TRUE,TRUE,TRUE,12,6,,Medium,ISO 13485;21 CFR 820.70,waterjet,{},Rough shaping
,Surface Grinder,Precision Machining,Surface Grinding Machine,"{""wheel_diameter_mm"":""number"",""table_travel_mm"":""number""}",TRUE,TRUE,TRUE,12,6,24,Medium,ISO 13485;21 CFR 820.70,surface grinder,{},Flatness
,Centerless Grinder,Precision Machining,Centerless Grinding Machine,"{""wheel_diameter_mm"":""number"",""feed_rate_mm_s"":""number""}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.70,centerless grinder,{},Guidewires
,Polishing System,Precision Machining,Polishing/Lapping System,"{""plate_speed_rpm"":""number"",""slurry_type"":""string""}",TRUE,TRUE,TRUE,12,6,24,Medium,ISO 13485,lapper,{},Surface finish
,Automated Assembly Cell,Production: Assembly,Automated Assembly Workcell,"{""robot_axes"":""integer"",""control_software"":""string""}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75,assembly cell,{},Special process
,Press-Fit Station,Production: Assembly,Press-Fit Assembly Station,"{""press_force_N"":""number"",""displacement_mm"":""number""}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75,press fit,{},Force control
,Crimping Machine,Production: Assembly,Crimping Machine,"{""crimp_force_N"":""number"",""target_diameter_mm"":""number""}",TRUE,TRUE,TRUE,6,12,12,High,ISO 13485;21 CFR 820.75,crimper,{},Stents/valves
,Heat Staking Machine,Production: Assembly,Heat Staking Machine,"{""stake_temp_C"":""number"",""dwell_time_sec"":""number""}",TRUE,TRUE,TRUE,12,6,12,Medium,ISO 13485;21 CFR 820.75,heat stake,{},Plastic joining
,Adhesive Dispensing System,Production: Assembly,Adhesive Dispensing System,"{""dispense_volume_uL"":""number"",""cure_method"":""string""}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75,adhesive dispenser,{},Bond integrity
,Torque-Controlled Fastening System,Production: Assembly,Torque-Controlled Fastening System,"{""torque_range_Nm"":""range"",""angle_control"":""boolean""}",TRUE,TRUE,TRUE,12,12,12,Medium,ISO 13485,torque driver,{},Fastener integrity
