standard_id,title,short_citation,region,applies_to,notes
ISO_13485,Medical devices — Quality management systems — Requirements for regulatory purposes,ISO 13485:2016,Global,All;Management;Production;Servicing,The core international QMS standard for medical devices.
21_CFR_820,Quality Management System Regulation (QMSR),21 CFR Part 820,US,All;Management;Production;HCT/Ps,FDA mandatory regulation; harmonized with ISO 13485:2016 as of 2024. 
ISO_14971,Medical devices — Application of risk management to medical devices,ISO 14971:2019,Global,All;Design;Production;Software,Defines the framework for identifying hazards and controlling risks.
ISO_TR_24971,Medical devices — Guidance on the application of ISO 14971,ISO/TR 24971:2020,Global,Management;Quality Engineering,Technical report providing practical examples for risk implementation.
IEC_62304,Medical device software — Software life cycle processes,IEC 62304:2006/A1:2015,Global,Software;Active Implants;IVD,Essential for any device containing software or standalone SaMD.
IEC_62366-1,Medical devices — Part 1: Application of usability engineering to medical devices,IEC 62366-1:2015,Global,Design;Software;Active Implants,Focuses on minimizing user errors through interface design.
21_CFR_11,Electronic Records; Electronic Signatures,21 CFR Part 11,US,Software;Lab;IT Systems;MES,Requirements for making electronic records as trustworthy as paper.
21_CFR_830,Unique Device Identification,21 CFR Part 830,US,Labeling;Packaging;Distribution,Mandates the UDI system for device traceability in the US. 
ISO_15223-1,"Medical devices — Symbols to be used with medical device labels, labelling and information to be supplied",ISO 15223-1:2021,Global,Labeling;Packaging,"Standardized symbols for sterile, expiry, and manufacturer info."
ISO_20417,Medical devices — Information supplied by the manufacturer,ISO 20417:2021,Global,Labeling;Servicing;IFU,General requirements for the content of IFUs and labels.
GAMP_5,A Risk-Based Approach to Compliant GxP Computerized Systems,GAMP 5 Rev 2,Global,Software;Automation;IT Systems,Industry framework for validating automated production/lab systems.
USP_1058,Analytical Instrument Qualification,USP <1058>,US,Lab;Analytical Instruments,Provides the A/B/C grouping for lab equipment qualification.
ISO_16142-1,Medical devices — Recognized essential principles of safety and performance — Part 1: General medical devices,ISO 16142-1:2016,Global,Design;Risk Management,Foundational requirements for non-IVD medical devices.
ISO_16142-2,Medical devices — Recognized essential principles of safety and performance — Part 2: IVD medical devices,ISO 16142-2:2017,Global,IVD Production;Reagents,Foundational requirements specific to In-Vitro Diagnostics.
IEC_80001-1,Application of risk management for IT-networks incorporating medical devices,IEC 80001-1:2021,Global,IT Systems;Hospitals,Manages risk when devices are connected to hospital networks.
IEC_TR_80002-1,Medical device software — Part 1: Guidance on the application of ISO 14971 to medical device software,IEC/TR 80002-1:2009,Global,Software;Risk Management,Specifically maps software failure modes to clinical risks.
IEC_TR_80002-2,Medical device software — Part 2: Validation of software for medical device quality systems,IEC/TR 80002-2:2017,Global,Software;Quality Systems,Guidance for validating QMS software like eQMS or LIMS.
IEC_TR_80002-3,Medical device software — Part 3: Process reference model of medical device software life cycle processes,IEC/TR 80002-3:2014,Global,Software;Production,Process assessment model for IEC 62304 compliance.
ISO_19001,In vitro diagnostic medical devices — Information supplied with reagents for staining in biology,ISO 19001:2013,Global,IVD Production;Histology,Labeling requirements for biological stains and reagents.
ISO_18113-1,"In vitro diagnostic medical devices — Information supplied by the manufacturer (labelling) — Part 1: Terms, definitions and general requirements",ISO 18113-1:2009,Global,IVD Production;Labeling,Core labeling standard for the IVD reagent industry.
ISO_11135,Sterilization of health-care products — Ethylene oxide — Requirements for validation and routine control,ISO 11135:2014,Global,Sterilization;EtO Chambers;Vascular;Orthopedic,Primary standard for gaseous EtO sterilization validation.
ISO_11137-1,Sterilization of health care products — Radiation — Part 1: Requirements for validation and routine control,ISO 11137-1:2006,Global,Sterilization;Gamma Irradiators;E-Beam;Orthopedic,Core requirements for radiation-based terminal sterilization.
