obligation_id|standard_id|standard_code|obligation_priority|topic|validation_intent|applicability_context|exclusion_conditions|protocol_impact|section_binding|evidence_types|technical_expression|plain_language_expression|inputs_required|outputs_generated|depth_modifiers|control_domains|trace_notes|status
OBL_TISSUE_FRIDGE_0001|STD_HUMAN_TISSUE_STORAGE|Human tissue storage control expectations|10|intended_use_definition|Define intended use, tissue types, storage limits, and custody requirements.|equipment_subtype='Refrigerator';use_case='human_tissue_storage'||IQ|IQ.ProcessDefinition|procedure;record|Define intended use, tissue categories, storage limits, and custody expectations for human tissue.|Describe what tissue is stored, how long, and under what restrictions.|tissue_types;storage_range_c;custody_requirements|process_definition_block|product_risk|CD_CHAIN_OF_CUSTODY:primary;CD_RISK_MANAGEMENT:primary|Sets the scope for all validation.|draft
OBL_TISSUE_FRIDGE_0002|STD_HUMAN_TISSUE_STORAGE|Human tissue storage control expectations|20|installation_location|Verify installation location, airflow, ambient conditions, and environmental suitability.|equipment_subtype='Refrigerator';use_case='human_tissue_storage'||IQ|IQ.InstallationChecks|record;observation|Verify installation, airflow, ambient temperature, clearance, and environmental suitability.|Confirm the fridge is installed in a suitable environment.|install_location_constraints;ambient_conditions|installation_checklist|facility_class|CD_MAINTENANCE_CALIBRATION:supporting|Foundational IQ requirement.|draft
OBL_TISSUE_FRIDGE_0003|STD_HUMAN_TISSUE_STORAGE|Human tissue storage control expectations|30|instrumentation_traceability|Ensure temperature probes and data loggers are calibrated and traceable.|equipment_subtype='Refrigerator';has_data_logger=true||IQ|IQ.Instrumentation|calibration;record|Ensure temperature probes and loggers are calibrated and traceable.|Make sure the sensors used to protect tissue are accurate.|sensor_list;calibration_status;traceability_requirements|instrumentation_table;calibration_records|product_risk|CD_MAINTENANCE_CALIBRATION:primary|Critical for tissue safety.|draft
OBL_TISSUE_FRIDGE_0004|STD_HUMAN_TISSUE_STORAGE|Human tissue storage control expectations|40|alarm_configuration|Ensure alarm thresholds, delays, and notification routing are defined and verified.|equipment_subtype='Refrigerator';has_alarm=true||IQ|IQ.AlarmsAndNotifications|procedure;record|Define alarm thresholds, delays, escalation paths, and notification routing.|Define how alarms work and who gets notified.|alarm_thresholds;alarm_delays;notification_list|alarm_configuration_record|product_risk|CD_DATA_INTEGRITY:supporting|Ensures alarms protect tissue effectively.|draft
OBL_TISSUE_FRIDGE_0005|STD_HUMAN_TISSUE_STORAGE|Human tissue storage control expectations|50|access_control|Ensure access control and chain-of-custody procedures are defined.|equipment_subtype='Refrigerator';access_control='restricted'||IQ|IQ.AccessAndCustody|procedure;record|Define access control, authorized handlers, and custody procedures.|Define who can access tissue and how custody is tracked.|access_roles;custody_procedures|access_control_matrix|product_risk;access_control_strength|CD_CHAIN_OF_CUSTODY:primary|Core custody requirement.|draft
OBL_TISSUE_FRIDGE_0006|STD_HUMAN_TISSUE_STORAGE|Human tissue storage control expectations|60|procedures|Ensure SOPs for loading, segregation, cleaning, and response are defined.|equipment_subtype='Refrigerator';use_case='human_tissue_storage'||IQ|IQ.Procedures|procedure;record|Define SOPs for loading, segregation, cleaning, and alarm response.|Define how tissue is handled safely.|loading_rules;segregation_rules;cleaning_schedule|sop_checklist|product_risk|CD_TRAINING_COMPETENCY:supporting|Ensures consistent handling.|draft
OBL_TISSUE_FRIDGE_0007|STD_HUMAN_TISSUE_STORAGE|Human tissue storage control expectations|70|training_competency|Ensure handlers are trained and authorized.|equipment_subtype='Refrigerator';use_case='human_tissue_storage'||IQ|IQ.TrainingAndCompetency|training;record|Ensure personnel are trained and authorized for tissue handling.|Ensure only trained people handle tissue.|training_roles;competency_requirements|training_matrix|task_criticality;product_risk|CD_TRAINING_COMPETENCY:primary|Critical for tissue safety.|draft
OBL_TISSUE_FRIDGE_0010|STD_HUMAN_TISSUE_STORAGE|Human tissue storage control expectations|100|temperature_mapping|Ensure the refrigerator maintains required temperature conditions throughout the usable volume.|equipment_subtype='Refrigerator';use_case='human_tissue_storage'||OQ|OQ.TemperatureMapping|test_data;record|Perform temperature mapping to demonstrate compliance across the usable storage volume.|Prove the whole fridge stays in range, not just near the probe.|mapping_sensor_count;sensor_placement_scheme;mapping_duration;empty_and_loaded_conditions;stabilization_time|temperature_map_report;worst_case_zone_identification;usable_volume_definition|product_risk;biological_material|CD_RISK_MANAGEMENT:primary|Core OQ requirement.|draft
OBL_TISSUE_FRIDGE_0011|STD_HUMAN_TISSUE_STORAGE|Human tissue storage control expectations|110|door_open_recovery|Ensure door-open and recovery behavior is challenged.|equipment_subtype='Refrigerator';use_case='human_tissue_storage'||OQ|OQ.ChallengeTests|test_data;record|Challenge door-open and recovery behavior to ensure tissue remains protected.|Test how quickly the fridge recovers after being opened.|door_open_challenge_definition;recovery_time_expectation|challenge_test_results|product_risk|CD_RISK_MANAGEMENT:primary|Ensures resilience to real use.|draft
OBL_TISSUE_FRIDGE_0012|STD_HUMAN_TISSUE_STORAGE|Human tissue storage control expectations|120|alarm_verification|Ensure alarms function correctly under challenge conditions.|equipment_subtype='Refrigerator';has_alarm=true||OQ|OQ.AlarmVerification|test_data;record|Verify alarm thresholds, delays, and escalation paths under challenge conditions.|Prove alarms work when they should.|alarm_thresholds;alarm_delays;notification_list|alarm_verification_results|product_risk|CD_DATA_INTEGRITY:primary|Critical for tissue protection.|draft
