obligation_id|standard_id|standard_code|obligation_priority|topic|validation_intent|applicability_context|exclusion_conditions|protocol_impact|section_binding|evidence_types|technical_expression|plain_language_expression|inputs_required|outputs_generated|depth_modifiers|control_domains|trace_notes|status
OBL_ISO11607_2_FFS_0001|STD_ISO11607_2|ISO 11607-2|10|process_definition|Define forming, sealing, and filling process intent and packaging system scope.|equipment_subtype='Form-Fill-Seal Machine'| |IQ|IQ.ProcessDefinition|procedure;record|Define the forming, sealing, and filling process and packaging system boundaries.|Describe what the FFS machine does and what packaging system it supports.|product_family;packaging_material;sterile_barrier|process_definition_block|product_risk|CD_RISK_MANAGEMENT:primary|Defines scope for all downstream validation.|draft
OBL_ISO11607_2_FFS_0002|STD_ISO11607_2|ISO 11607-2|20|equipment_installation|Verify installation, utilities, and environmental suitability.|equipment_subtype='Form-Fill-Seal Machine'| |IQ|IQ.InstallationChecks|record;observation|Verify utilities, air supply, forming/sealing stations, and safety systems.|Confirm the machine is installed correctly and safely.|utility_specs;air_supply;machine_layout|installation_checklist|facility_class|CD_MAINTENANCE_CALIBRATION:supporting|Foundational IQ requirement.|draft
OBL_ISO11607_2_FFS_0003|STD_ISO11607_2|ISO 11607-2|30|instrumentation|Ensure forming and sealing sensors are calibrated and traceable.|equipment_subtype='Form-Fill-Seal Machine'| |IQ|IQ.Instrumentation|calibration;record|Ensure temperature, pressure, and timing sensors are calibrated.|Make sure sensors used to prove sealing are accurate.|sensor_list;calibration_status|instrumentation_table|product_risk|CD_MAINTENANCE_CALIBRATION:primary|Critical for sealing validation.|draft
OBL_ISO11607_2_FFS_0004|STD_ISO11607_2|ISO 11607-2|40|control_system|Define and lock control system configuration.|equipment_subtype='Form-Fill-Seal Machine';software_controlled=true| |IQ;OQ|IQ.ControlSystem;OQ.ControlSystemVerification|procedure;record|Define cycle recipes, alarms, interlocks, and configuration baselines.|Lock down machine settings so they can’t drift.|cycle_recipes;alarm_limits;access_roles|configuration_baseline_record|automation_level|CD_CHANGE_CONTROL:primary;CD_DATA_INTEGRITY:supporting|Prevents undocumented changes.|draft
OBL_ISO11607_2_FFS_0005|STD_ISO11607_2|ISO 11607-2|50|forming_validation|Validate forming process parameters.|equipment_subtype='Form-Fill-Seal Machine';forming_process=true| |OQ|OQ.FormingChallenges|test_data;record|Challenge forming temperature, dwell, and vacuum parameters.|Test forming settings to ensure consistent forming quality.|forming_temp_range;forming_dwell;vacuum_settings|forming_challenge_matrix|product_risk;automation_level|CD_RISK_MANAGEMENT:primary|Core OQ forming requirement.|draft
OBL_ISO11607_2_FFS_0006|STD_ISO11607_2|ISO 11607-2|60|sealing_validation|Validate sealing process parameters.|equipment_subtype='Form-Fill-Seal Machine';sealing_process=true| |OQ|OQ.SealingChallenges|test_data;record|Challenge sealing temperature, pressure, and dwell time.|Test sealing settings to ensure strong, consistent seals.|seal_temp_range;seal_pressure;seal_dwell|sealing_challenge_matrix|product_risk;automation_level|CD_RISK_MANAGEMENT:primary|Core OQ sealing requirement.|draft
OBL_ISO11607_2_FFS_0007|STD_ISO11607_2|ISO 11607-2|70|operating_window|Establish operating window for forming and sealing.|equipment_subtype='Form-Fill-Seal Machine'| |OQ|OQ.OperatingWindow|test_data;record|Define acceptable ranges for forming and sealing parameters.|Define the safe operating ranges for the machine.|temp_range;pressure_range;dwell_range|operating_window_summary|product_risk|CD_RISK_MANAGEMENT:primary|Supports PQ consistency.|draft
OBL_ISO11607_2_FFS_0008|STD_ISO11607_2|ISO 11607-2|80|seal_integrity|Demonstrate seal integrity under routine conditions.|equipment_subtype='Form-Fill-Seal Machine'| |PQ|PQ.SealIntegrity|test_data;record|Demonstrate seal strength and integrity under routine conditions.|Prove seals hold up in real production.|sample_plan;test_method;acceptance_criteria|seal_integrity_report|product_risk|CD_RISK_MANAGEMENT:primary|PQ core requirement.|draft
OBL_ISO11607_2_FFS_0009|STD_ISO11607_2|ISO 11607-2|90|routine_monitoring|Define routine monitoring strategy.|equipment_subtype='Form-Fill-Seal Machine'| |PQ|PQ.RoutineMonitoring|procedure;record|Define routine checks for sealing and forming parameters.|Define what operators check every run.|monitoring_frequency;review_roles|routine_monitoring_plan|product_risk|CD_DATA_INTEGRITY:supporting|Ensures ongoing control.|draft
OBL_ISO11607_2_FFS_0010|STD_ISO11607_2|ISO 11607-2|100|change_control|Define change control triggers.|equipment_subtype='Form-Fill-Seal Machine'| |PQ|PQ.ChangeControl|procedure;record|Define changes requiring requalification.|Define what changes force revalidation.|change_categories;impact_rules|change_control_matrix|product_risk;software_control|CD_CHANGE_CONTROL:primary|Lifecycle control.|draft
